run_id,label,is_target,ts_unix,root_pid,pid,process_start_time,image_name,image_sha256,t_ms,total_score,f1_unsigned,f2_packed,f3_susp_strings,f4_honey,f5_crypto_api,f6_safe_mode,f7_shadow_del,f8_reg_persist,f9_dir_enum,f10_high_io,f11_ext_changed,f12_fingerprint,f13_entropy,f14_daa,f9_now,f10_now,f11_now,f12_now,f13_now,f14_now,io_rate,rename_rate,dirent_rate,entropy_delta_mean,entropy_delta_max,entropy_samples,daa_min,affected_ext_count,new_ext_max,backup_entries,backup_frozen,quota_tier,exited,family,y,source_split,gate_pass,feature_sum_f1_f14,v2_group_id,is_synthetic
synthetic_train_benign_v4_20261021_00028,benign,1,1786197146,10672,10672,1.34306707449994e+17,synthetic_benign_v4.exe,124bc1ee76023f74549c9cb536cfd512c784246bcde2776d76f5f3ce86706a38,1209.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,269.3533476809912,15.1508956188609,729.8194736225686,0.7317945208465552,4.682569443041455,61.0,179.2554300467324,4.0,407.0,117.0,0.0,3.0,0.0,SyntheticBenignV4,0,train,1,9.0,synthetic_train_benign_v4_20261021_00028,1
r_20260805_204121_00017,malware,1,1785941445,1096,1096,1.3430415037249616e+17,INC__5e3c44ac77cba228f54304f7f1f9ee4d86099950f230186f11fffaa76c86a5db.exe,5e3c44ac77cba228f54304f7f1f9ee4d86099950f230186f11fffaa76c86a5db,7493.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.6333,0.6333,7.4333,0.8286,3.2537,9.0,34.225,6.0,6.0,8.0,0.0,2.0,0.0,INC,1,train,1,6.0,r_20260805_204121_00017,0
,benign,1,1786198866,11312,11312,1.3430672464078317e+17,python.exe,,2720.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,209.5,25.0,2090.6667,3.0415,3.5384,31.0,11.675,4.0,750.0,11.0,0.0,3.0,0.0,python.exe,0,train,1,6.0,benign_missing_run_train_0017,0
r_20260801_001458_00231,malware,1,1785600921,9436,9436,1.3430074511267728e+17,Sodinokibi__b8d7fb4488c0556385498271ab9fffdf0eb38bb2a330265d9852e3a6288092aa.exe,b8d7fb4488c0556385498271ab9fffdf0eb38bb2a330265d9852e3a6288092aa,9667.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,30.8,7.2333,10.4667,3.0366,3.2854,6.0,10.2332,6.0,199.0,5.0,0.0,2.0,0.0,Sodinokibi,1,train,1,6.0,r_20260801_001458_00231,0
r_20260801_001458_00243,malware,1,1785604287,11040,11040,1.3430077882875309e+17,Sodinokibi__d821b0ee9766ec7da7d7dc179a3ef189ffd3e681d787c1f11fedb270fdad96d2.exe,d821b0ee9766ec7da7d7dc179a3ef189ffd3e681d787c1f11fedb270fdad96d2,3190.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7667,0.4,1.9667,3.0255,3.2825,5.0,17.0697,6.0,4.0,5.0,0.0,3.0,0.0,Sodinokibi,1,train,1,7.0,r_20260801_001458_00243,0
7f6421cdf6355edfdcbddadd26bcdfbf984def301df3c6c03d71af8e30bb781f,malware,1,1785831637,5936,5936,1.3430305218924158e+17,Conti__7f6421cdf6355edfdcbd.exe,7f6421cdf6355edfdcbddadd26bcdfbf984def301df3c6c03d71af8e30bb781f,15819.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.7,0.9,47.1,0.9141,3.7025,49.0,13.0027,14.0,12.0,11.0,0.0,3.0,0.0,Conti,1,train,1,6.0,7f6421cdf6355edfdcbddadd26bcdfbf984def301df3c6c03d71af8e30bb781f,0
0bb0e1fcff8ccf54c6f9ecfd4bbb6757f6a25cb0e7a173d12cf0f402a3ae706f,malware,1,1785635539,4384,4384,1.3430109116181856e+17,Rhysida__0bb0e1fcff8ccf54c6f9.exe,0bb0e1fcff8ccf54c6f9ecfd4bbb6757f6a25cb0e7a173d12cf0f402a3ae706f,22455.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.3333,0.8667,548.1333,0.0,0.0,8.0,172.5158,11.0,2.0,15.0,0.0,2.0,0.0,Rhysida,1,train,1,6.0,0bb0e1fcff8ccf54c6f9ecfd4bbb6757f6a25cb0e7a173d12cf0f402a3ae706f,0
r_20260801_001458_00204,malware,1,1785570828,5688,5688,1.3430044421234826e+17,Sodinokibi__5724c873d76a2d89ae400fd300d4f013da9106f1d4cd31c0a71e65893663c120.exe,5724c873d76a2d89ae400fd300d4f013da9106f1d4cd31c0a71e65893663c120,5971.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,33.5667,11.0,12.6,3.0049,3.2838,5.0,26.2822,6.0,312.0,5.0,0.0,2.0,0.0,Sodinokibi,1,train,1,6.0,r_20260801_001458_00204,0
702099b63cb2384e11f088d6bc33afbd43a4c91848f393581242a6a17f1b30a0,malware,1,1785831705,8044,8044,1.3430305283055517e+17,Conti__702099b63cb2384e11f0.exe,702099b63cb2384e11f088d6bc33afbd43a4c91848f393581242a6a17f1b30a0,20156.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.8,3.1,188.8,2.4142,6.561,104.0,8.4796,15.0,21.0,44.0,0.0,2.0,0.0,Conti,1,train,1,6.0,702099b63cb2384e11f088d6bc33afbd43a4c91848f393581242a6a17f1b30a0,0
1c18ce93ce0c1ea0b0838da892dd33af031db3caf49e215dc3beb2c398c09508,malware,1,1785663884,5936,5936,1.3430137259420658e+17,Trigona__1c18ce93ce0c1ea0b083.exe,1c18ce93ce0c1ea0b0838da892dd33af031db3caf49e215dc3beb2c398c09508,223916.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,45.7,8.4333,27.8667,1.3689,3.9783,68.0,213.6544,13.0,55.0,111.0,0.0,3.0,0.0,Trigona,1,train,1,6.0,1c18ce93ce0c1ea0b0838da892dd33af031db3caf49e215dc3beb2c398c09508,0
